cpus,mem,npmem,recvTps,sendTps,acceptTps,serializedBuffer
0,9.38E+07,11784,0,0,0,0
0,9.38E+07,11784,0,0,0,0
0,9.38E+07,11784,0,0,0,0
1.56534,9.40E+07,893704,0,0,1252,0
100,1.02E+08,1.00E+06,22250,22250,0,26850
100,1.07E+08,2.04E+06,221770,221770,1248,53200
100,1.04E+08,972360,225000,225000,0,31650
100,1.22E+08,2.42E+06,586280,586280,0,106900
100,1.47E+08,17600,799319,799319,0,178900
100,1.47E+08,1.80E+06,1074872,1074871,0,178900
100,1.37E+08,1.78E+06,1081179,1081179,0,143900
100,1.37E+08,1.78E+06,1097948,1097947,0,143900
100,1.37E+08,1.78E+06,1103557,1103557,0,143900
100,1.37E+08,1.78E+06,1106061,1106061,0,143900
100,1.37E+08,1.81E+06,1106344,1106344,0,143900
100,1.37E+08,1.78E+06,1106965,1106965,0,143900
100,1.37E+08,1.78E+06,1108150,1108150,0,143900
100,1.37E+08,1.78E+06,1108203,1108203,0,143900
100,1.37E+08,1.78E+06,1108811,1108811,0,143900
100,1.37E+08,1.78E+06,1110224,1110224,0,143900
100,1.37E+08,1.78E+06,1110733,1110733,0,143900
100,1.37E+08,1.78E+06,1111684,1111684,0,143900
100,1.37E+08,1.78E+06,1119409,1119409,0,143900
100,1.35E+08,1.89E+06,1122500,1122500,0,138750
100,1.35E+08,1.90E+06,1123873,1123872,0,138950
100,1.45E+08,1.79E+06,1124985,1124985,0,168650
100,1.32E+08,2.53E+06,1125000,1125000,0,129900
100,1.34E+08,2.06E+06,1125000,1125000,0,137500
100,1.34E+08,2.20E+06,1125000,1125000,0,138750
100,1.34E+08,2.09E+06,1125000,1125000,0,138750
100,1.34E+08,2.22E+06,1125000,1125000,0,138750
100,1.34E+08,2.07E+06,1125000,1125000,0,138750
100,1.34E+08,2.06E+06,1125000,1125000,0,138750
100,1.34E+08,2.03E+06,1125000,1125000,0,138750
100,1.34E+08,2.19E+06,1125000,1125000,0,138750
100,1.35E+08,2.09E+06,1125000,1125000,0,138750
100,1.35E+08,2.08E+06,1125000,1125000,0,138750
100,1.35E+08,2.21E+06,1125000,1125000,0,138750
100,1.35E+08,2.21E+06,1125000,1125000,0,138750
100,1.35E+08,2.09E+06,1125000,1125000,0,138750
100,1.35E+08,2.08E+06,1125000,1125000,0,138750
100,1.35E+08,2.04E+06,1125000,1125000,0,138750
100,1.35E+08,2.07E+06,1125000,1125000,0,138750
100,1.35E+08,2.07E+06,1125000,1125000,0,138750
100,1.35E+08,1.93E+06,1125000,1125000,0,138750
100,1.35E+08,2.02E+06,1125000,1125000,0,138750
100,1.35E+08,1.98E+06,1125000,1125000,0,138750
100,1.35E+08,1.99E+06,1125000,1125000,0,138750
100,1.35E+08,1.97E+06,1125000,1125000,0,138750
100,1.35E+08,2.07E+06,1125000,1125000,0,138750
100,1.35E+08,1.98E+06,1125000,1125000,0,138750
100,1.35E+08,2.07E+06,1125000,1125000,0,138750
100,1.35E+08,1.95E+06,1125000,1125000,0,138750
100,1.35E+08,2.10E+06,1125000,1125000,0,138750
100,1.35E+08,1.88E+06,1125000,1125000,0,138750
100,1.35E+08,1.97E+06,1125000,1125000,0,138750
100,1.35E+08,1.90E+06,1125000,1125000,0,138750
100,1.35E+08,1.90E+06,1125000,1125000,0,138750
100,1.35E+08,2.15E+06,1125000,1125000,0,138750
100,1.35E+08,1.95E+06,1125000,1125000,0,138750
100,1.35E+08,1.88E+06,1125000,1125000,0,138750
100,1.35E+08,1.93E+06,1125000,1125000,0,138750
100,1.35E+08,1.91E+06,1125000,1125000,0,138750
100,1.35E+08,1.92E+06,1125000,1125000,0,138750
100,1.35E+08,1.92E+06,1125000,1125000,0,138750
100,1.35E+08,2.07E+06,1125000,1125000,0,138750
100,1.35E+08,1.92E+06,1125000,1125000,0,138750
100,1.35E+08,1.89E+06,1125000,1125000,0,138950
100,1.35E+08,1.99E+06,1125000,1125000,0,138950
100,1.35E+08,1.90E+06,1125000,1125000,0,138950
100,1.35E+08,1.93E+06,1125000,1125000,0,138950
100,1.35E+08,1.88E+06,1125000,1125000,0,138950
100,1.35E+08,1.90E+06,1125000,1125000,0,138950
100,1.35E+08,1.89E+06,1125000,1125000,0,138950
100,1.36E+08,1.91E+06,1125000,1125000,0,139150
100,1.36E+08,1.87E+06,1125000,1125000,0,139150
100,1.36E+08,1.90E+06,1125000,1125000,0,139150
100,1.36E+08,1.84E+06,1125000,1125000,0,139150
100,1.36E+08,1.90E+06,1125000,1125000,0,139150
100,1.36E+08,1.83E+06,1125000,1125000,0,139150
100,1.36E+08,1.87E+06,1125000,1125000,0,139150
100,1.36E+08,1.82E+06,1125000,1125000,0,139150
100,1.36E+08,1.78E+06,1125000,1125000,0,139150
100,1.36E+08,1.83E+06,1125000,1125000,0,139150
100,1.36E+08,1.84E+06,1125000,1125000,0,139150
100,1.36E+08,1.94E+06,1125000,1125000,0,139200
100,1.36E+08,1.88E+06,1125000,1125000,0,139300
100,1.36E+08,1.83E+06,1125000,1125000,0,139300
100,1.36E+08,1.87E+06,1125000,1125000,0,139300
100,1.36E+08,1.81E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.83E+06,1125000,1125000,0,139300
100,1.36E+08,1.79E+06,1125000,1125000,0,139300
100,1.36E+08,1.81E+06,1125000,1125000,0,139300
100,1.36E+08,1.83E+06,1125000,1125000,0,139300
100,1.36E+08,1.79E+06,1125000,1125000,0,139300
100,1.36E+08,1.80E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.82E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.79E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.81E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.80E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.79E+06,1125000,1125000,0,139300
100,1.36E+08,1.82E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.79E+06,1125000,1125000,0,139300
100,1.36E+08,1.79E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.81E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.79E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.80E+06,1125000,1125000,0,139300
100,1.36E+08,1.82E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.81E+06,1125000,1125000,0,139300
100,1.36E+08,1.79E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.82E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.79E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.79E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.79E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.81E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.79E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.79E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
100,1.36E+08,1.78E+06,1125000,1125000,0,139300
