cpus,mem,npmem,recvTps,sendTps,acceptTps,serializedBuffer
0,1.66E+08,12328,0,0,0,0
0,1.66E+08,12328,0,0,0,0
0,1.66E+08,12328,0,0,0,0
1.56136,1.66E+08,245160,0,0,330,0
0,1.66E+08,245160,0,0,0,0
0,1.66E+08,245160,0,0,0,0
0,1.67E+08,873832,0,0,893,0
0,1.67E+08,873832,0,0,0,0
0,1.67E+08,873832,0,0,0,0
1.56184,1.67E+08,1.39E+06,0,0,729,0
0,1.67E+08,1.39E+06,0,0,0,0
0,1.67E+08,1.39E+06,0,0,0,0
0,1.67E+08,1.90E+06,0,0,730,0
0,1.67E+08,1.90E+06,0,0,0,0
0,1.67E+08,1.90E+06,0,0,0,0
0,2.98E+08,18608,0,0,0,433150
0,2.98E+08,18608,0,0,0,433150
1.56171,1.70E+08,2.46E+06,8283,8283,779,3000
0,1.70E+08,2.45E+06,14850,14850,0,3250
0,1.70E+08,2.45E+06,14850,14850,0,3300
68.803,1.81E+08,2.82E+06,166118,166122,466,46500
100,1.89E+08,2.97E+06,438435,438430,0,69900
100,1.91E+08,2.94E+06,534150,534150,0,73400
100,1.92E+08,3.09E+06,536800,536800,242,75400
100,1.96E+08,3.12E+06,633991,633991,0,90300
100,1.97E+08,3.20E+06,755100,755100,0,93700
100,2.00E+08,3.34E+06,758750,758750,291,99800
100,2.09E+08,3.42E+06,879516,879516,0,131300
100,2.90E+08,5.40E+06,997934,997934,0,409950
100,2.98E+08,18608,1000000,1000000,0,433150
100,2.90E+08,5.31E+06,1032875,1032874,0,409950
100,2.90E+08,5.33E+06,1037990,1037990,0,413050
100,2.90E+08,5.33E+06,1042478,1042478,0,413050
100,2.13E+08,4.12E+06,1046377,1046376,355,140950
100,2.14E+08,4.00E+06,1061505,1061505,0,144500
100,2.12E+08,3.47E+06,1067273,1067274,0,139150
100,2.91E+08,5.39E+06,1086793,1086793,0,413200
100,2.98E+08,5.32E+06,1120841,1120841,0,433150
100,2.93E+08,5.33E+06,1125205,1125205,0,423000
100,2.18E+08,4.41E+06,1126169,1126169,0,158000
100,2.15E+08,3.77E+06,1127290,1127290,0,151100
100,2.17E+08,3.88E+06,1127340,1127340,231,153650
100,2.18E+08,4.37E+06,1129112,1129112,366,158300
100,2.19E+08,4.53E+06,1129892,1129892,214,159700
100,2.19E+08,4.37E+06,1129958,1129958,0,159550
100,2.17E+08,3.91E+06,1130238,1130238,0,155050
100,2.18E+08,4.41E+06,1130888,1130888,0,158350
100,2.19E+08,5.08E+06,1132097,1132097,394,161400
100,2.18E+08,3.83E+06,1137301,1137301,0,156400
100,2.20E+08,4.78E+06,1146603,1146603,0,162450
100,2.89E+08,5.34E+06,1149506,1149505,0,409000
100,2.89E+08,5.32E+06,1149653,1149656,0,409400
100,2.20E+08,4.69E+06,1156642,1156642,0,163200
100,2.19E+08,4.96E+06,1164341,1164341,0,161200
100,2.18E+08,4.40E+06,1173053,1173051,0,157450
100,2.18E+08,4.24E+06,1173609,1173609,282,157100
100,2.93E+08,5.36E+06,1175206,1175204,0,422950
100,2.89E+08,5.33E+06,1175386,1175388,0,409400
100,2.93E+08,5.32E+06,1176944,1176943,0,423000
100,2.90E+08,5.31E+06,1178949,1178948,0,410800
100,2.90E+08,5.37E+06,1183999,1184001,0,409950
100,2.94E+08,5.31E+06,1184457,1184457,0,423000
100,2.19E+08,4.66E+06,1190809,1190809,0,159700
100,2.90E+08,5.35E+06,1193217,1193217,0,413150
100,2.93E+08,5.36E+06,1198551,1198551,0,422950
100,2.91E+08,5.37E+06,1200188,1200188,0,413250
100,2.20E+08,4.87E+06,1201678,1201678,234,163200
100,2.90E+08,5.33E+06,1208644,1208644,0,413050
100,2.97E+08,5.34E+06,1234863,1234863,0,432950
100,2.91E+08,5.35E+06,1239446,1239446,0,413200
100,2.94E+08,5.32E+06,1258642,1258643,0,424050
100,2.20E+08,4.95E+06,1297984,1297984,0,163350
100,2.91E+08,5.34E+06,1300958,1300956,0,413200
100,2.98E+08,5.30E+06,1321546,1321546,0,433150
100,2.83E+08,5.51E+06,1326899,1326897,0,390850
100,2.91E+08,5.33E+06,1352749,1352749,0,413200
100,2.93E+08,5.31E+06,1359785,1359785,0,422900
100,2.90E+08,5.37E+06,1370134,1370135,0,409950
100,2.20E+08,5.02E+06,1371550,1371551,0,163750
