cpus,mem,npmem,recvTps,sendTps,acceptTps,serializedBuffer
0,1.66E+08,12328,0,0,0,0
0,1.66E+08,12328,0,0,0,0
0,1.66E+08,12328,0,0,0,0
0,1.66E+08,12328,0,0,0,0
0,1.66E+08,12328,0,0,0,0
0,1.66E+08,12328,0,0,0,0
4.68551,1.67E+08,2.21E+06,0,0,3118,0
84.2275,1.74E+08,2.21E+06,45300,45300,0,18700
70.4076,1.75E+08,2.21E+06,135000,135000,0,22150
100,1.92E+08,3.00E+06,344844,344844,1118,80350
100,1.96E+08,3.00E+06,643456,643456,0,92500
100,1.96E+08,3.00E+06,720000,720000,0,93700
100,2.25E+08,3.64E+06,1110400,1110400,764,195800
100,3.38E+08,7.18E+06,1375742,1375742,0,580600
100,3.38E+08,7.08E+06,1408751,1408750,0,617950
100,3.38E+08,7.08E+06,1448968,1448968,0,626650
100,3.28E+08,7.22E+06,1508435,1508435,0,549100
100,3.38E+08,7.08E+06,1606543,1606543,0,594100
100,3.38E+08,7.08E+06,1637390,1637390,0,586850
100,3.30E+08,7.19E+06,1638102,1638098,0,553200
100,3.38E+08,7.08E+06,1651250,1651250,0,586850
100,3.38E+08,7.08E+06,1651918,1651918,0,607350
100,3.38E+08,7.08E+06,1652996,1652996,0,639100
100,3.38E+08,7.08E+06,1668730,1668730,0,630200
100,2.35E+08,4.03E+06,1669677,1669673,0,238800
100,3.38E+08,7.08E+06,1670611,1670608,0,617950
100,3.38E+08,7.08E+06,1681099,1681099,0,617150
100,3.38E+08,7.08E+06,1684201,1684201,0,630200
100,3.38E+08,7.08E+06,1684528,1684529,0,621100
100,3.38E+08,7.08E+06,1686805,1686807,0,618050
100,3.38E+08,7.08E+06,1699768,1699768,0,610000
100,3.38E+08,7.08E+06,1703185,1703183,0,607350
100,3.38E+08,7.08E+06,1704201,1704201,0,594100
100,3.38E+08,7.08E+06,1709675,1709675,0,630200
100,3.38E+08,7.08E+06,1709830,1709830,0,615450
100,3.38E+08,7.08E+06,1711008,1711008,0,630200
100,2.40E+08,5.47E+06,1714864,1714864,1884,249650
100,3.38E+08,7.08E+06,1718131,1718131,0,610000
100,3.38E+08,7.08E+06,1723404,1723404,0,642650
100,3.38E+08,7.08E+06,1725608,1725608,0,638900
100,3.38E+08,7.08E+06,1728317,1728317,0,582500
100,3.38E+08,7.08E+06,1730400,1730400,0,618300
100,3.38E+08,7.08E+06,1732617,1732617,0,582500
100,3.38E+08,7.08E+06,1733025,1733024,0,628550
100,3.38E+08,7.08E+06,1742410,1742411,0,610000
100,3.38E+08,7.08E+06,1745356,1745356,0,586850
100,3.38E+08,7.08E+06,1747749,1747747,0,642650
100,3.38E+08,7.08E+06,1749555,1749556,0,608500
100,3.38E+08,7.08E+06,1757363,1757363,0,616850
100,3.38E+08,7.08E+06,1771830,1771831,0,613450
100,3.38E+08,7.08E+06,1776226,1776226,0,603700
100,2.30E+08,3.61E+06,1778632,1778635,0,226850
100,3.38E+08,7.08E+06,1779996,1779996,0,610000
100,3.38E+08,7.08E+06,1780146,1780147,0,630100
100,3.38E+08,7.08E+06,1784048,1784049,0,618450
100,3.38E+08,7.08E+06,1789643,1789640,0,644850
100,2.38E+08,3.97E+06,1794090,1794090,0,245000
100,3.38E+08,7.08E+06,1794544,1794545,0,620950
100,3.38E+08,7.08E+06,1797783,1797783,0,630100
100,3.38E+08,7.08E+06,1809253,1809255,0,586850
100,3.38E+08,7.08E+06,1824727,1824725,0,630200
100,3.38E+08,7.08E+06,1826384,1826384,0,642650
100,3.28E+08,7.18E+06,1833383,1833384,0,549100
100,3.38E+08,7.08E+06,1839184,1839184,0,586850
100,3.38E+08,7.08E+06,1841788,1841788,0,626650
100,3.35E+08,7.15E+06,1858218,1858218,0,568700
100,3.38E+08,7.08E+06,1872417,1872416,0,630200
100,3.38E+08,7.08E+06,1880744,1880746,0,630200
100,3.38E+08,7.08E+06,1883427,1883427,0,618050
100,3.30E+08,7.18E+06,1886113,1886113,0,553200
100,3.34E+08,7.14E+06,1888668,1888668,0,567400
100,3.38E+08,7.08E+06,1895552,1895557,0,630100
100,3.38E+08,7.08E+06,1896743,1896744,0,608900
100,3.38E+08,7.08E+06,1896753,1896754,0,630200
100,3.38E+08,7.08E+06,1902743,1902743,0,626650
100,3.34E+08,7.08E+06,1922244,1922244,0,567400
