cpus,mem,npmem,recvTps,sendTps,acceptTps,serializedBuffer
0,9.50E+07,11784,0,0,0,0
0,9.50E+07,11784,0,0,0,0
0,9.50E+07,11784,0,0,0,0
0,9.50E+07,11784,0,0,0,0
0,9.50E+07,11784,0,0,0,0
0,9.50E+07,11784,0,0,0,0
0,9.50E+07,11784,0,0,0,0
0,9.50E+07,11784,0,0,0,0
0,9.50E+07,11784,0,0,0,0
0,9.50E+07,11784,0,0,0,0
0,2.17E+08,17872,0,0,0,439750
0,2.17E+08,17872,0,0,0,439750
0,2.17E+08,17872,0,0,0,439750
0,2.17E+08,17872,0,0,0,439750
0,2.17E+08,17872,0,0,0,439750
0,2.17E+08,17872,0,0,0,439750
0,2.17E+08,17872,0,0,0,439750
0,2.17E+08,17872,0,0,0,439750
0,2.17E+08,17872,0,0,0,439750
7.81912,9.70E+07,880920,3876,3876,1226,6300
71.802,9.95E+07,880840,34424,34424,0,20200
67.1737,1.01E+08,880840,135000,135000,0,23100
100,1.02E+08,1.56E+06,135000,135000,958,25900
70.3706,1.03E+08,1.56E+06,135000,135000,0,26350
23.4292,1.03E+08,1.56E+06,135000,135000,0,26750
76.5409,1.03E+08,1.89E+06,139932,139932,480,28450
45.3121,1.05E+08,1.89E+06,214468,214468,0,33900
84.3494,1.05E+08,1.89E+06,225000,225000,0,35450
46.8984,1.06E+08,2.46E+06,239271,239271,809,35650
12.5086,2.17E+08,17872,274937,274937,0,439750
100,1.08E+08,2.46E+06,479279,479279,0,46550
100,1.11E+08,2.46E+06,630000,630000,0,56900
100,1.27E+08,3.58E+06,632073,632073,1527,111650
100,2.17E+08,3.67E+06,649025,649025,0,439750
100,2.17E+08,3.83E+06,1221895,1221894,0,439750
100,1.34E+08,3.65E+06,1611222,1611222,0,187700
100,2.17E+08,3.65E+06,2152113,2152114,0,439750
100,2.07E+08,3.54E+06,2179602,2179603,0,400750
100,2.07E+08,3.56E+06,2189470,2189470,0,400750
100,2.17E+08,3.54E+06,2194201,2194201,0,439750
100,2.13E+08,4.53E+06,2207831,2207831,0,426450
100,2.17E+08,3.54E+06,2211146,2211146,0,439650
100,2.13E+08,4.35E+06,2213736,2213736,0,426450
100,2.08E+08,3.99E+06,2213841,2213830,0,401600
100,2.15E+08,4.26E+06,2215113,2215113,0,431000
100,2.16E+08,4.51E+06,2215966,2215966,0,438200
100,2.07E+08,3.73E+06,2218869,2218869,0,400750
100,1.99E+08,3.59E+06,2220138,2220137,0,369550
100,2.05E+08,3.77E+06,2220242,2220242,0,396450
100,2.17E+08,3.62E+06,2220339,2220332,0,439750
