cpus,mem,npmem,recvTps,sendTps,acceptTps,serializedBuffer
0.130083,2.15E+08,17792,0,0,0,0
8.19188,2.17E+08,1.56E+06,965,2035,582,1050
9.70867,2.19E+08,2.99E+06,5214,25772,2153,3900
17.139,2.20E+08,3.84E+06,6794,73961,2480,3900
9.88985,2.20E+08,3.84E+06,5160,87265,1191,3900
13.6554,2.20E+08,3.77E+06,4211,80508,468,3900
14.3011,2.20E+08,3.81E+06,4461,87678,684,3900
13.1345,2.20E+08,3.81E+06,5050,91271,625,3900
9.0988,2.20E+08,3.76E+06,5013,88562,631,3900
13.4777,2.20E+08,3.77E+06,4474,85212,591,3900
11.6944,2.20E+08,3.77E+06,3877,78603,410,3900
9.76201,2.20E+08,3.79E+06,4233,75932,469,3900
10.3386,2.20E+08,3.74E+06,4956,87197,638,3900
11.2714,2.20E+08,3.78E+06,5543,91959,654,3900
8.45238,2.20E+08,3.77E+06,4506,72684,583,3900
11.2693,2.20E+08,3.77E+06,4088,72804,685,3900
10.0121,2.20E+08,3.78E+06,4332,71985,661,3900
9.73782,2.20E+08,3.78E+06,4692,81053,490,3900
10.4079,2.20E+08,3.78E+06,4575,79075,362,3900
10.4054,2.20E+08,3.76E+06,4048,73935,467,3900
12.8789,2.20E+08,3.79E+06,3971,79173,532,3900
11.4543,2.20E+08,3.78E+06,4637,85107,447,3900
12.0985,2.20E+08,3.77E+06,4647,83569,573,3900
9.36736,2.20E+08,3.76E+06,4454,85782,469,3900
11.5187,2.20E+08,3.79E+06,4386,83928,514,3900
12.2254,2.20E+08,3.76E+06,4303,81298,458,3900
13.147,2.20E+08,3.77E+06,4766,91151,785,3900
9.0855,2.20E+08,3.79E+06,4850,90792,636,3900
10.7558,2.20E+08,3.77E+06,4161,80938,454,3900
11.3065,2.20E+08,3.77E+06,4214,73521,445,3900
10.8996,2.20E+08,3.77E+06,4359,72082,549,3900
11.2803,2.20E+08,3.79E+06,4489,72418,530,3900
12.6191,2.20E+08,3.78E+06,4425,76620,410,3900
10.0178,2.20E+08,4.10E+06,4577,79731,449,3900
14.3495,2.20E+08,3.88E+06,4445,79668,477,3900
14.3673,2.20E+08,3.95E+06,4060,75046,448,3900
12.543,2.20E+08,3.90E+06,4814,85379,711,3900
15.1194,2.20E+08,3.90E+06,4688,84341,599,3900
11.0486,2.20E+08,3.83E+06,4350,78476,494,3900
10.0119,2.20E+08,3.80E+06,4150,72054,519,3900
12.1948,2.20E+08,3.77E+06,4376,78957,531,3900
13.2672,2.20E+08,3.79E+06,4979,84408,643,3900
12.3606,2.20E+08,3.77E+06,4846,87843,658,3900
11.446,2.20E+08,3.79E+06,4216,78696,636,3900
9.60293,2.20E+08,3.77E+06,4316,74504,548,3900
9.49407,2.20E+08,3.78E+06,4235,77232,639,3900
11.5834,2.20E+08,3.77E+06,4402,80587,611,3900
8.97676,2.20E+08,3.79E+06,4430,78703,607,3900
8.28164,2.20E+08,3.78E+06,3997,67185,388,3900
7.41337,2.20E+08,3.78E+06,4000,66251,423,3900
11.1935,2.20E+08,3.78E+06,4361,75541,576,3900
11.1937,2.20E+08,3.79E+06,4691,82050,597,3900
10.8488,2.20E+08,3.77E+06,4648,80827,478,3900
12.3507,2.20E+08,3.78E+06,4615,81784,650,3900
14.6953,2.20E+08,3.77E+06,4520,79281,714,3900
10.9256,2.20E+08,3.77E+06,4370,75478,629,3900
14.3102,2.20E+08,3.78E+06,4570,77486,575,3900
11.0635,2.20E+08,3.76E+06,4553,79976,521,3900
11.4489,2.20E+08,3.77E+06,4566,79346,643,3900
11.5383,2.20E+08,3.79E+06,4878,82575,635,3900
10.537,2.20E+08,3.79E+06,4488,83433,436,3900
11.8359,2.20E+08,3.78E+06,4106,78818,382,3900
9.3689,2.20E+08,3.79E+06,4304,81039,517,3900
10.1121,2.20E+08,3.78E+06,4430,76905,541,3900
10.9233,2.20E+08,3.77E+06,4534,76745,623,3900
10.6651,2.20E+08,3.77E+06,4384,74518,604,3900
8.19943,2.20E+08,3.76E+06,4345,73966,585,3900
10.7633,2.20E+08,3.77E+06,4291,71646,603,3900
10.3978,2.20E+08,3.77E+06,4514,73441,597,3900
