cpus,mem,recvTps,sendTps,acceptTps,loginTps
0.94926,3.09E+08,0,0,0,0
0.0555617,3.09E+08,0,0,0,0
0,3.09E+08,0,0,0,0
0,3.09E+08,0,0,0,0
0,3.09E+08,0,0,0,0
0,3.09E+08,0,0,0,0
0,3.09E+08,0,0,0,0
0,3.09E+08,0,0,0,0
0,3.09E+08,0,0,0,0
0,3.09E+08,0,0,0,0
0,3.09E+08,0,0,0,0
0,3.09E+08,0,0,0,0
3.45911,3.09E+08,1636,1636,1699,1699
5.13373,3.20E+08,1699,1699,2228,2010
4.01677,3.20E+08,2315,2315,2257,2594
7.64363,3.20E+08,2716,2716,2270,2610
5.13409,3.21E+08,2768,2768,2585,2675
7.70399,3.21E+08,2810,2810,2627,2803
6.13977,3.21E+08,2816,2816,2749,2830
5.5726,3.21E+08,2822,2822,2778,2847
6.20011,3.21E+08,2833,2833,2780,2851
8.20622,3.21E+08,2842,2842,2819,2866
5.23854,3.21E+08,2854,2854,2819,2872
7.09569,3.21E+08,2859,2859,2832,2873
7.13513,3.21E+08,2865,2865,2837,2881
7.0318,3.21E+08,2871,2871,2844,2903
7.3101,3.21E+08,2878,2878,2848,2905
7.98228,3.21E+08,2883,2883,2849,2920
6.86642,3.21E+08,2883,2883,2851,2927
7.02815,3.21E+08,2888,2888,2860,2930
6.64232,3.21E+08,2890,2890,2864,2930
6.80728,3.21E+08,2900,2900,2864,2932
8.75812,3.21E+08,2905,2905,2867,2937
7.42589,3.21E+08,2912,2912,2867,2940
6.35244,3.21E+08,2915,2915,2869,2946
7.76273,3.21E+08,2921,2921,2869,2949
6.69817,3.21E+08,2929,2929,2870,2957
6.47047,3.21E+08,2939,2939,2873,2964
6.64234,3.21E+08,2940,2940,2888,2964
6.80937,3.21E+08,2943,2943,2888,2966
6.08021,3.21E+08,2950,2950,2892,2966
7.97517,3.21E+08,2950,2950,2897,2969
6.81069,3.21E+08,2954,2954,2906,2969
8.2596,3.21E+08,2959,2959,2910,2970
8.42681,3.21E+08,2966,2966,2916,2974
7.70081,3.21E+08,2966,2966,2918,2975
7.41815,3.21E+08,2972,2972,2921,2976
6.58715,3.21E+08,2972,2972,2924,2977
7.80997,3.21E+08,2973,2973,2926,2977
8.59317,3.21E+08,2976,2976,2927,2978
8.53522,3.21E+08,2977,2977,2928,2985
8.19823,3.21E+08,2977,2977,2928,2985
8.38143,3.21E+08,2979,2979,2928,2986
7.6971,3.21E+08,2982,2982,2933,2987
6.86494,3.21E+08,2983,2983,2934,2989
7.25877,3.21E+08,2983,2983,2937,2991
6.97212,3.21E+08,2986,2986,2938,2997
7.42723,3.21E+08,2986,2986,2938,2999
7.69413,3.21E+08,2987,2987,2939,2999
9.25825,3.21E+08,2989,2989,2939,3004
7.64999,3.21E+08,2991,2991,2939,3009
7.59149,3.21E+08,2991,2991,2940,3009
8.30263,3.21E+08,2991,2991,2940,3015
7.54304,3.21E+08,2999,2999,2941,3016
7.69412,3.21E+08,3001,3001,2941,3017
7.24976,3.21E+08,3002,3002,2945,3017
7.54023,3.21E+08,3007,3007,2946,3020
7.30892,3.21E+08,3007,3007,2950,3020
8.09145,3.21E+08,3008,3008,2951,3020
6.86049,3.21E+08,3011,3011,2951,3021
8.87796,3.21E+08,3013,3013,2952,3021
7.75877,3.21E+08,3017,3017,2953,3021
7.30656,3.21E+08,3018,3018,2953,3023
8.09482,3.21E+08,3018,3018,2955,3023
7.14557,3.21E+08,3019,3019,2955,3027
6.85908,3.21E+08,3019,3019,2955,3031
7.64181,3.21E+08,3020,3020,2956,3032
7.13704,3.21E+08,3020,3020,2959,3033
7.54443,3.21E+08,3021,3021,2961,3035
7.52781,3.21E+08,3022,3022,2963,3035
7.64567,3.21E+08,3025,3025,2967,3035
7.64577,3.21E+08,3029,3029,2967,3035
7.36254,3.21E+08,3031,3031,2967,3036
9.48329,3.21E+08,3034,3034,2968,3038
8.15461,3.21E+08,3036,3036,2970,3039
6.58365,3.21E+08,3037,3037,2973,3039
8.42838,3.21E+08,3037,3037,2974,3039
7.48324,3.21E+08,3037,3037,2974,3040
7.58467,3.21E+08,3038,3038,2976,3046
7.02395,3.21E+08,3039,3039,2977,3049
8.70021,3.21E+08,3040,3040,2978,3049
7.31795,3.21E+08,3040,3040,2979,3051
6.97676,3.21E+08,3041,3041,2979,3052
7.19533,3.21E+08,3041,3041,2980,3053
7.5924,3.21E+08,3043,3043,2982,3053
8.59669,3.21E+08,3044,3044,2984,3053
8.47396,3.21E+08,3046,3046,2987,3054
7.25813,3.21E+08,3047,3047,2987,3054
7.30011,3.21E+08,3047,3047,2991,3055
6.98587,3.21E+08,3047,3047,2993,3055
7.02082,3.21E+08,3048,3048,2993,3055
7.82144,3.21E+08,3050,3050,2995,3057
7.36932,3.21E+08,3052,3052,2995,3057
7.85869,3.21E+08,3052,3052,2997,3057
7.97459,3.21E+08,3053,3053,2998,3058
8.44005,3.21E+08,3053,3053,3001,3058
7.18539,3.21E+08,3056,3056,3002,3058
8.9897,3.21E+08,3059,3059,3003,3059
7.92255,3.21E+08,3059,3059,3003,3061
6.47427,3.21E+08,3061,3061,3004,3062
6.24718,3.21E+08,3062,3062,3004,3063
8.04806,3.21E+08,3062,3062,3005,3064
7.2498,3.21E+08,3064,3064,3007,3064
8.5899,3.21E+08,3065,3065,3007,3065
7.37052,3.21E+08,3066,3066,3007,3065
8.26094,3.21E+08,3066,3066,3008,3066
8.08404,3.21E+08,3066,3066,3009,3066
7.64965,3.21E+08,3069,3069,3012,3067
5.96383,3.21E+08,3069,3069,3015,3068
7.82097,3.21E+08,3069,3069,3016,3071
7.5864,3.21E+08,3071,3071,3016,3071
7.47261,3.21E+08,3071,3071,3016,3071
6.58842,3.21E+08,3071,3071,3016,3072
9.15422,3.21E+08,3073,3073,3016,3072
6.53116,3.21E+08,3075,3075,3017,3072
7.35587,3.21E+08,3077,3077,3017,3072
7.32109,3.21E+08,3078,3078,3018,3074
8.64198,3.21E+08,3078,3078,3018,3076
8.82212,3.21E+08,3078,3078,3019,3077
7.46534,3.21E+08,3079,3079,3021,3077
8.60076,3.21E+08,3080,3080,3021,3078
7.98045,3.21E+08,3081,3081,3023,3080
6.861,3.21E+08,3081,3081,3024,3081
7.52928,3.21E+08,3085,3085,3025,3081
7.93351,3.21E+08,3086,3086,3026,3081
7.69742,3.21E+08,3087,3087,3027,3082
7.76038,3.21E+08,3088,3088,3027,3083
8.08255,3.21E+08,3088,3088,3028,3084
6.87127,3.21E+08,3089,3089,3028,3084
8.03169,3.21E+08,3092,3092,3030,3086
7.8713,3.21E+08,3093,3093,3030,3086
7.36239,3.21E+08,3094,3094,3030,3086
8.14379,3.21E+08,3094,3094,3030,3087
8.03225,3.21E+08,3095,3095,3031,3088
7.32041,3.21E+08,3096,3096,3032,3089
8.86722,3.21E+08,3096,3096,3033,3089
7.81722,3.21E+08,3097,3097,3033,3089
8.03141,3.21E+08,3098,3098,3034,3090
7.52119,3.21E+08,3099,3099,3034,3090
6.75426,3.21E+08,3100,3100,3035,3091
7.76269,3.21E+08,3100,3100,3035,3092
7.59173,3.21E+08,3100,3100,3035,3092
7.81502,3.21E+08,3101,3101,3036,3093
9.42598,3.21E+08,3101,3101,3037,3093
7.20093,3.21E+08,3101,3101,3038,3095
8.31667,3.21E+08,3102,3102,3038,3097
8.08304,3.21E+08,3102,3102,3038,3098
7.53358,3.21E+08,3104,3104,3038,3099
5.74958,3.21E+08,3105,3105,3039,3100
6.36364,3.21E+08,3107,3107,3041,3101
8.08233,3.21E+08,3107,3107,3041,3102
7.43183,3.21E+08,3107,3107,3041,3103
7.52256,3.21E+08,3107,3107,3042,3103
7.70245,3.21E+08,3108,3108,3043,3104
6.25289,3.21E+08,3109,3109,3044,3105
8.54273,3.21E+08,3111,3111,3045,3105
7.47199,3.21E+08,3111,3111,3045,3106
8.48468,3.21E+08,3112,3112,3046,3106
7.19368,3.21E+08,3113,3113,3048,3106
8.65225,3.21E+08,3114,3114,3049,3106
6.97481,3.21E+08,3114,3114,3049,3108
8.53879,3.21E+08,3114,3114,3049,3109
8.20093,3.21E+08,3114,3114,3050,3111
7.81561,3.21E+08,3115,3115,3051,3112
7.36527,3.21E+08,3115,3115,3051,3113
8.14494,3.21E+08,3116,3116,3052,3113
6.58806,3.21E+08,3116,3116,3052,3114
8.02263,3.21E+08,3117,3117,3052,3114
6.59506,3.21E+08,3117,3117,3055,3115
8.08515,3.21E+08,3118,3118,3056,3115
8.98794,3.21E+08,3118,3118,3058,3117
6.69896,3.21E+08,3118,3118,3059,3118
7.52255,3.21E+08,3118,3118,3060,3120
8.43626,3.21E+08,3119,3119,3060,3120
7.46835,3.21E+08,3119,3119,3062,3120
7.54448,3.21E+08,3119,3119,3062,3121
6.80403,3.21E+08,3119,3119,3063,3121
7.81102,3.21E+08,3120,3120,3063,3123
6.86518,3.21E+08,3121,3121,3064,3123
7.6423,3.21E+08,3121,3121,3064,3123
7.53632,3.21E+08,3121,3122,3064,3123
7.09102,3.21E+08,3122,3122,3064,3124
7.46494,3.21E+08,3122,3122,3064,3124
7.26173,3.21E+08,3122,3122,3065,3125
7.14,3.21E+08,3122,3122,3065,3125
6.52805,3.21E+08,3123,3123,3066,3125
8.08766,3.21E+08,3123,3123,3067,3126
8.25717,3.21E+08,3123,3123,3068,3126
7.03592,3.21E+08,3123,3123,3068,3128
7.97993,3.21E+08,3124,3124,3069,3128
7.53799,3.21E+08,3124,3124,3070,3129
8.30314,3.21E+08,3124,3124,3070,3129
7.87081,3.21E+08,3124,3124,3072,3129
8.08691,3.21E+08,3124,3124,3072,3129
7.42708,3.21E+08,3125,3125,3072,3130
8.03237,3.21E+08,3126,3126,3072,3130
7.86642,3.21E+08,3126,3126,3073,3131
7.87697,3.21E+08,3126,3126,3073,3131
8.30935,3.21E+08,3127,3127,3074,3132
7.92422,3.21E+08,3127,3127,3074,3132
7.81361,3.21E+08,3127,3127,3075,3132
7.42566,3.21E+08,3128,3128,3075,3132
7.68908,3.21E+08,3130,3130,3076,3133
8.37546,3.21E+08,3130,3130,3078,3133
8.03887,3.21E+08,3131,3131,3079,3134
7.53528,3.21E+08,3131,3131,3079,3134
8.42199,3.21E+08,3132,3132,3080,3136
7.86589,3.21E+08,3133,3133,3080,3136
7.69605,3.21E+08,3134,3134,3081,3136
7.82202,3.21E+08,3134,3134,3081,3137
7.69138,3.21E+08,3135,3135,3082,3137
6.86853,3.21E+08,3135,3135,3082,3140
6.9787,3.21E+08,3135,3135,3082,3141
7.6917,3.21E+08,3135,3135,3083,3141
7.31741,3.21E+08,3136,3136,3083,3142
6.47412,3.21E+08,3137,3137,3083,3142
7.30616,3.21E+08,3137,3137,3084,3142
7.13995,3.21E+08,3138,3138,3084,3143
7.87011,3.21E+08,3138,3138,3085,3143
7.58852,3.21E+08,3139,3139,3085,3144
7.75706,3.21E+08,3139,3139,3086,3144
7.70075,3.21E+08,3139,3139,3087,3145
7.47531,3.21E+08,3140,3140,3087,3146
8.08663,3.21E+08,3140,3140,3087,3146
7.82542,3.21E+08,3141,3141,3088,3146
7.46826,3.21E+08,3142,3142,3088,3146
7.81437,3.21E+08,3143,3143,3088,3147
7.5295,3.21E+08,3143,3143,3088,3148
8.49317,3.21E+08,3143,3143,3089,3148
7.19535,3.21E+08,3143,3143,3089,3149
8.31518,3.21E+08,3144,3144,3091,3149
7.86141,3.21E+08,3144,3144,3091,3149
6.58759,3.21E+08,3145,3145,3091,3150
8.14763,3.21E+08,3146,3145,3091,3150
7.64953,3.21E+08,3146,3146,3092,3150
7.07674,3.21E+08,3146,3146,3093,3151
8.54798,3.21E+08,3146,3146,3093,3151
7.02951,3.21E+08,3146,3146,3095,3152
7.80856,3.21E+08,3147,3147,3095,3153
6.92014,3.21E+08,3148,3148,3096,3153
6.75042,3.21E+08,3148,3148,3096,3153
9.49354,3.21E+08,3148,3148,3096,3154
6.40791,3.21E+08,3148,3148,3096,3154
8.49279,3.21E+08,3148,3148,3096,3154
6.0848,3.21E+08,3149,3149,3096,3155
7.5819,3.21E+08,3150,3150,3097,3155
6.9214,3.21E+08,3150,3150,3097,3156
6.58426,3.21E+08,3150,3150,3097,3156
9.04194,3.21E+08,3150,3150,3097,3157
7.81641,3.21E+08,3152,3152,3098,3157
7.35678,3.21E+08,3152,3152,3099,3157
6.53109,3.21E+08,3153,3153,3099,3158
5.58041,3.21E+08,3153,3153,3100,3158
6.58507,3.21E+08,3153,3153,3100,3158
8.76763,3.21E+08,3154,3154,3100,3159
7.41248,3.21E+08,3154,3154,3100,3160
9.0422,3.21E+08,3154,3154,3100,3161
6.14111,3.21E+08,3155,3155,3101,3162
7.5759,3.21E+08,3156,3156,3102,3162
8.10374,3.21E+08,3156,3156,3103,3162
7.37112,3.21E+08,3156,3156,3103,3163
8.19136,3.21E+08,3156,3156,3103,3163
7.42402,3.21E+08,3156,3156,3103,3163
7.8169,3.21E+08,3157,3157,3103,3164
7.07718,3.21E+08,3157,3157,3105,3165
7.70444,3.21E+08,3158,3158,3106,3165
7.58323,3.21E+08,3158,3158,3106,3166
8.60675,3.21E+08,3158,3158,3106,3167
8.30434,3.21E+08,3158,3158,3106,3167
9.2225,3.21E+08,3158,3158,3107,3167
6.63793,3.21E+08,3159,3159,3107,3167
6.58051,3.21E+08,3159,3159,3107,3167
5.8,3.21E+08,3159,3159,3108,3167
6.70474,3.21E+08,3159,3159,3108,3168
7.3554,3.21E+08,3159,3159,3109,3168
8.71626,3.21E+08,3159,3159,3109,3169
6.79917,3.21E+08,3159,3159,3110,3169
7.20948,3.21E+08,3160,3160,3110,3171
6.96923,3.21E+08,3160,3160,3111,3171
7.64776,3.21E+08,3160,3160,3111,3171
8.37029,3.21E+08,3161,3161,3112,3172
7.42237,3.21E+08,3161,3161,3113,3172
6.30275,3.21E+08,3161,3161,3113,3172
5.52069,3.21E+08,3161,3161,3114,3172
8.26908,3.21E+08,3162,3162,3115,3172
7.80459,3.21E+08,3163,3163,3115,3172
7.75719,3.21E+08,3163,3163,3116,3173
7.36442,3.21E+08,3163,3163,3116,3174
7.14551,3.21E+08,3164,3164,3116,3175
6.74947,3.21E+08,3164,3164,3117,3175
7.75277,3.21E+08,3164,3164,3117,3176
8.27003,3.21E+08,3165,3165,3118,3176
6.97029,3.21E+08,3165,3165,3118,3177
6.80909,3.21E+08,3165,3165,3119,3178
7.97661,3.21E+08,3165,3165,3119,3178
6.80839,3.21E+08,3165,3165,3119,3178
7.75278,3.21E+08,3166,3166,3119,3178
8.53138,3.21E+08,3166,3166,3119,3178
7.7079,3.21E+08,3166,3166,3119,3178
7.19962,3.21E+08,3166,3166,3119,3179
6.97854,3.21E+08,3166,3166,3120,3179
7.1441,3.21E+08,3167,3167,3120,3179
7.86439,3.21E+08,3167,3167,3120,3179
8.37564,3.21E+08,3167,3167,3121,3179
8.30298,3.21E+08,3167,3167,3121,3179
7.43079,3.21E+08,3167,3167,3121,3179
7.68861,3.21E+08,3167,3167,3121,3179
8.10391,3.21E+08,3168,3168,3122,3180
7.97104,3.21E+08,3168,3168,3122,3180
6.69811,3.21E+08,3168,3168,3122,3181
6.69898,3.21E+08,3169,3169,3124,3181
8.03219,3.21E+08,3170,3170,3125,3181
7.92803,3.21E+08,3170,3170,3125,3181
7.75969,3.21E+08,3170,3170,3125,3182
8.30223,3.21E+08,3170,3170,3126,3182
9.49268,3.21E+08,3171,3171,3127,3182
9.60111,3.21E+08,3171,3171,3127,3183
6.24744,3.21E+08,3171,3171,3128,3183
7.41693,3.21E+08,3172,3172,3128,3183
7.32115,3.21E+08,3173,3173,3128,3183
7.86345,3.21E+08,3173,3173,3128,3183
7.30536,3.21E+08,3173,3173,3128,3184
8.31427,3.21E+08,3173,3173,3129,3185
7.70246,3.21E+08,3174,3174,3129,3185
8.37254,3.21E+08,3174,3174,3129,3185
7.70542,3.21E+08,3174,3174,3130,3186
7.25138,3.21E+08,3174,3174,3130,3186
6.69721,3.21E+08,3174,3174,3130,3186
7.53128,3.21E+08,3175,3175,3130,3186
