cpus,mem,recvTps,sendTps,acceptTps,loginTps
0.994973,3.09E+08,0,0,0,0
0.0555294,3.09E+08,0,0,0,0
0,3.09E+08,0,0,0,0
0,3.09E+08,0,0,0,0
0,3.09E+08,0,0,0,0
0,3.09E+08,0,0,0,0
0,3.09E+08,0,0,0,0
0,3.09E+08,0,0,0,0
0,3.09E+08,0,0,0,0
0.167376,3.10E+08,0,0,0,0
9.82352,3.23E+08,1716,1716,1719,1653
9.36363,3.23E+08,2083,2083,2479,2013
4.91203,3.23E+08,2378,2378,2497,2342
7.7008,3.23E+08,2474,2474,2532,2445
6.41355,3.23E+08,2519,2519,2591,2562
8.69956,3.23E+08,2562,2562,2600,2620
9.94361,3.23E+08,2574,2574,2728,2720
7.97597,3.23E+08,2637,2637,2729,2720
10.2277,3.23E+08,2651,2651,2755,2790
8.47125,3.23E+08,2747,2747,2757,2820
8.03736,3.23E+08,2795,2795,2770,2829
9.98187,3.23E+08,2826,2826,2778,2845
9.55733,3.23E+08,2838,2838,2782,2846
11.144,3.23E+08,2842,2842,2798,2847
12.4637,3.23E+08,2886,2886,2899,2848
9.9187,3.23E+08,2917,2917,2905,2866
11.7762,3.23E+08,2983,2983,2908,2872
9.824,3.23E+08,2996,2996,2914,2889
8.42396,3.23E+08,3014,3014,2931,2894
9.70528,3.23E+08,3045,3045,2938,2912
8.20498,3.23E+08,3058,3058,2950,2975
8.25801,3.23E+08,3070,3070,2951,2979
9.03327,3.23E+08,3083,3083,2952,3029
7.93355,3.23E+08,3084,3084,2966,3080
8.53622,3.23E+08,3096,3096,2985,3082
10.6066,3.23E+08,3108,3108,2999,3092
11.3824,3.23E+08,3137,3137,3018,3094
9.98579,3.23E+08,3144,3144,3030,3108
10.0985,3.23E+08,3145,3145,3049,3110
10.9897,3.23E+08,3145,3145,3063,3125
10.4883,3.23E+08,3149,3149,3097,3129
13.3996,3.23E+08,3186,3186,3105,3129
10.5527,3.23E+08,3211,3211,3121,3151
10.5871,3.23E+08,3211,3211,3145,3171
10.3353,3.23E+08,3215,3214,3156,3176
12.3357,3.23E+08,3222,3222,3166,3179
9.91687,3.23E+08,3228,3228,3169,3182
10.9988,3.23E+08,3233,3233,3169,3193
10.1061,3.23E+08,3239,3239,3177,3199
10.3188,3.23E+08,3276,3276,3196,3210
7.75856,3.23E+08,3283,3283,3197,3223
7.25506,3.23E+08,3286,3286,3207,3226
10.6088,3.23E+08,3288,3288,3208,3231
11.5344,3.23E+08,3289,3289,3210,3240
9.60444,3.23E+08,3300,3300,3224,3250
8.98495,3.23E+08,3303,3303,3230,3254
10.1544,3.23E+08,3320,3320,3237,3264
10.2124,3.23E+08,3321,3321,3239,3289
9.9383,3.23E+08,3325,3325,3242,3295
13.6573,3.23E+08,3327,3327,3254,3298
10.9991,3.23E+08,3330,3330,3260,3299
10.6535,3.23E+08,3337,3337,3260,3319
10.1058,3.23E+08,3341,3341,3264,3330
11.5574,3.23E+08,3348,3348,3265,3332
10.0288,3.23E+08,3353,3353,3269,3338
10.4423,3.23E+08,3354,3354,3286,3343
10.6644,3.23E+08,3354,3354,3292,3368
11.7573,3.23E+08,3361,3361,3295,3372
12.1154,3.23E+08,3394,3394,3295,3373
10.1581,3.23E+08,3402,3402,3309,3374
12.9958,3.23E+08,3407,3407,3314,3377
12.0044,3.23E+08,3407,3407,3323,3381
10.6021,3.23E+08,3418,3418,3328,3382
11.4344,3.23E+08,3427,3427,3338,3390
11.2783,3.23E+08,3433,3433,3357,3396
13.6655,3.23E+08,3434,3434,3359,3396
11.3783,3.23E+08,3435,3435,3364,3399
11.8488,3.23E+08,3436,3436,3369,3408
11.1997,3.23E+08,3445,3445,3373,3411
12.507,3.23E+08,3451,3451,3378,3421
11.39,3.23E+08,3483,3483,3383,3422
11.2112,3.23E+08,3485,3485,3390,3423
11.1552,3.23E+08,3488,3488,3391,3441
8.37385,3.23E+08,3499,3499,3398,3442
7.81096,3.23E+08,3499,3499,3400,3448
10.65,3.23E+08,3501,3501,3401,3456
9.43902,3.23E+08,3504,3504,3404,3458
11.2671,3.23E+08,3508,3508,3419,3458
10.3269,3.23E+08,3508,3508,3421,3474
7.8134,3.23E+08,3518,3518,3426,3480
9.82663,3.23E+08,3521,3521,3426,3482
9.53128,3.23E+08,3528,3528,3434,3485
10.1634,3.23E+08,3528,3528,3450,3485
10.4922,3.23E+08,3530,3530,3450,3489
11.7577,3.23E+08,3532,3532,3458,3489
11.3341,3.23E+08,3534,3534,3461,3491
11.6691,3.23E+08,3536,3536,3461,3494
11.4343,3.23E+08,3540,3540,3464,3494
12.1037,3.23E+08,3544,3544,3467,3499
10.8983,3.23E+08,3546,3546,3467,3502
11.0329,3.23E+08,3550,3550,3473,3505
10.8766,3.23E+08,3551,3551,3476,3514
12.3515,3.23E+08,3556,3556,3490,3519
10.81,3.23E+08,3559,3559,3491,3535
12.1154,3.23E+08,3570,3570,3494,3537
12.3395,3.23E+08,3573,3573,3495,3537
11.9364,3.23E+08,3575,3575,3503,3538
12.6057,3.23E+08,3580,3580,3504,3550
10.1514,3.23E+08,3583,3583,3504,3550
10.3188,3.23E+08,3584,3584,3509,3555
11.569,3.23E+08,3590,3590,3514,3556
11.2112,3.23E+08,3593,3593,3514,3557
11.2667,3.23E+08,3595,3595,3515,3561
12.6313,3.23E+08,3596,3596,3528,3561
9.64948,3.23E+08,3602,3602,3530,3570
11.813,3.23E+08,3607,3607,3537,3574
11.1778,3.23E+08,3611,3611,3542,3583
11.423,3.23E+08,3613,3613,3543,3592
11.1219,3.23E+08,3615,3615,3548,3592
10.81,3.23E+08,3617,3617,3549,3593
10.563,3.23E+08,3618,3618,3549,3595
10.8657,3.23E+08,3619,3619,3566,3603
10.9988,3.23E+08,3622,3622,3568,3604
11.7811,3.23E+08,3624,3624,3578,3613
9.41696,3.23E+08,3631,3631,3580,3615
12.8974,3.23E+08,3633,3633,3589,3615
12.0479,3.23E+08,3637,3637,3592,3616
11.1666,3.23E+08,3646,3646,3594,3624
12.9961,3.23E+08,3651,3651,3594,3624
12.0041,3.23E+08,3653,3653,3600,3626
11.6017,3.23E+08,3657,3657,3607,3630
10.2073,3.23E+08,3658,3658,3612,3631
12.9663,3.23E+08,3658,3658,3619,3634
12.3702,3.23E+08,3660,3660,3620,3641
10.8871,3.23E+08,3662,3662,3625,3647
9.65526,3.23E+08,3668,3668,3628,3654
10.1557,3.23E+08,3669,3669,3634,3654
10.2644,3.23E+08,3670,3670,3634,3664
10.33,3.23E+08,3671,3671,3638,3668
10.9276,3.23E+08,3674,3674,3649,3668
9.31481,3.23E+08,3675,3675,3651,3670
10.1052,3.23E+08,3676,3676,3659,3674
9.2627,3.23E+08,3676,3676,3663,3674
9.43411,3.23E+08,3677,3677,3669,3679
6.25149,3.23E+08,3687,3687,3669,3683
6.86416,3.23E+08,3687,3687,3669,3683
8.09361,3.23E+08,3689,3689,3670,3683
8.14368,3.23E+08,3698,3698,3672,3684
10.9991,3.23E+08,3698,3698,3676,3686
10.1971,3.23E+08,3700,3700,3680,3687
9.7692,3.23E+08,3702,3702,3682,3687
9.1007,3.23E+08,3703,3703,3683,3689
10.6594,3.23E+08,3707,3707,3683,3689
11.5343,3.23E+08,3713,3713,3686,3692
11.5694,3.23E+08,3716,3716,3690,3704
11.7569,3.23E+08,3722,3722,3697,3704
7.82411,3.23E+08,3733,3733,3697,3705
8.02452,3.23E+08,3733,3733,3700,3715
11.2783,3.23E+08,3734,3734,3703,3716
10.8766,3.23E+08,3735,3735,3704,3716
11.6691,3.23E+08,3735,3735,3707,3719
11.4458,3.23E+08,3744,3744,3712,3721
9.41697,3.23E+08,3746,3746,3715,3724
10.6083,3.23E+08,3746,3746,3717,3728
7.59106,3.23E+08,3750,3750,3718,3730
10.5977,3.23E+08,3753,3753,3718,3731
11.7249,3.23E+08,3753,3753,3720,3736
10.4861,3.23E+08,3755,3755,3724,3738
9.98385,3.23E+08,3756,3756,3726,3748
11.2899,3.23E+08,3758,3758,3727,3755
12.1473,3.23E+08,3759,3759,3729,3757
11.4901,3.23E+08,3760,3760,3729,3759
9.88721,3.23E+08,3768,3768,3730,3765
10.6535,3.23E+08,3769,3769,3730,3765
10.7707,3.23E+08,3770,3770,3735,3770
9.60334,3.23E+08,3770,3770,3738,3779
11.0997,3.23E+08,3770,3770,3738,3780
11.2076,3.23E+08,3774,3774,3739,3782
10.395,3.23E+08,3776,3776,3740,3783
12.1598,3.23E+08,3776,3776,3745,3783
10.6535,3.23E+08,3777,3777,3746,3783
10.7758,3.23E+08,3777,3777,3746,3784
9.97808,3.23E+08,3777,3777,3748,3788
10.1059,3.23E+08,3778,3778,3748,3789
12.5067,3.23E+08,3782,3782,3749,3791
11.3789,3.23E+08,3787,3787,3754,3796
10.4858,3.23E+08,3789,3789,3758,3796
10.4969,3.23E+08,3791,3791,3761,3800
9.48303,3.23E+08,3793,3793,3763,3800
10.7159,3.23E+08,3795,3795,3765,3806
10.3294,3.23E+08,3795,3795,3765,3809
11.2109,3.23E+08,3797,3797,3768,3811
12.1162,3.23E+08,3797,3797,3769,3811
11.7573,3.23E+08,3798,3798,3770,3818
11.5013,3.23E+08,3800,3800,3775,3819
12.2278,3.23E+08,3802,3802,3776,3819
11.8687,3.23E+08,3805,3805,3784,3820
11.8366,3.23E+08,3805,3805,3784,3821
10.8313,3.23E+08,3808,3808,3787,3823
10.8319,3.23E+08,3811,3811,3789,3827
10.2072,3.23E+08,3811,3811,3792,3828
12.4259,3.23E+08,3818,3818,3792,3831
12.0038,3.23E+08,3820,3820,3792,3833
12.6744,3.23E+08,3822,3822,3794,3838
12.7172,3.23E+08,3824,3824,3799,3838
12.7858,3.23E+08,3824,3824,3799,3842
13.8882,3.23E+08,3826,3826,3801,3843
12.1719,3.23E+08,3826,3826,3801,3844
11.9802,3.23E+08,3832,3832,3804,3844
11.6129,3.23E+08,3832,3832,3808,3848
11.1,3.23E+08,3834,3834,3813,3850
10.9991,3.23E+08,3835,3835,3818,3851
10.5525,3.23E+08,3837,3837,3820,3853
11.3786,3.23E+08,3838,3838,3827,3857
10.6535,3.23E+08,3839,3839,3831,3858
11.5574,3.23E+08,3840,3840,3833,3858
11.055,3.23E+08,3841,3841,3834,3861
11.8248,3.23E+08,3842,3842,3835,3862
11.39,3.23E+08,3843,3843,3835,3862
11.813,3.23E+08,3845,3845,3840,3863
11.8925,3.23E+08,3848,3848,3841,3864
13.6233,3.23E+08,3851,3851,3842,3867
13.9861,3.23E+08,3856,3856,3844,3868
12.6864,3.23E+08,3857,3857,3844,3871
11.9925,3.23E+08,3857,3857,3844,3872
11.8366,3.23E+08,3861,3861,3847,3873
11.2558,3.23E+08,3864,3864,3849,3874
12.2956,3.23E+08,3864,3864,3850,3875
10.8657,3.23E+08,3866,3866,3850,3876
11.2667,3.23E+08,3870,3870,3851,3879
11.234,3.23E+08,3874,3874,3857,3882
11.3112,3.23E+08,3874,3874,3858,3885
10.8982,3.23E+08,3877,3877,3858,3888
10.7655,3.23E+08,3879,3879,3860,3889
12.5495,3.23E+08,3879,3879,3862,3891
11.3344,3.23E+08,3879,3879,3862,3893
10.6428,3.23E+08,3879,3879,3862,3895
11.1666,3.23E+08,3881,3881,3865,3896
10.3849,3.23E+08,3881,3881,3866,3897
9.81652,3.23E+08,3882,3882,3867,3902
10.096,3.23E+08,3883,3883,3868,3912
11.8363,3.23E+08,3884,3884,3870,3914
11.4461,3.23E+08,3884,3884,3872,3916
12.147,3.23E+08,3885,3885,3872,3916
11.9602,3.23E+08,3890,3890,3873,3917
10.9216,3.23E+08,3891,3891,3873,3920
13.847,3.23E+08,3892,3892,3875,3921
11.9363,3.23E+08,3893,3893,3875,3921
12.2956,3.23E+08,3893,3893,3879,3923
10.5871,3.23E+08,3899,3899,3879,3925
11.7808,3.23E+08,3899,3899,3881,3928
11.2113,3.23E+08,3902,3902,3882,3931
10.2175,3.23E+08,3902,3902,3883,3931
11.4901,3.23E+08,3907,3907,3884,3934
11.8248,3.23E+08,3907,3907,3893,3937
12.5066,3.23E+08,3910,3910,3896,3937
11.2667,3.23E+08,3910,3910,3901,3937
11.2337,3.23E+08,3911,3911,3902,3938
10.81,3.23E+08,3917,3917,3902,3941
11.1669,3.23E+08,3918,3918,3908,3943
12.953,3.23E+08,3924,3924,3911,3944
11.3789,3.23E+08,3924,3924,3915,3944
12.1037,3.23E+08,3925,3925,3917,3945
12.4938,3.23E+08,3925,3925,3917,3947
11.5693,3.23E+08,3926,3926,3917,3949
11.6342,3.23E+08,3927,3927,3918,3951
10.451,3.23E+08,3929,3929,3919,3955
11.9483,3.23E+08,3929,3929,3920,3956
